0	0
100000	1
200000	2
300000	3
400000	4
500000	5
600000	6
700000	7
800000	8
900000	9
1000000	10
1100000	11
1200000	12
1300000	13
1400000	14
1500000	15
1600000	16
1700000	17
1800000	18
1900000	19
2000000	20
2100000	21
2200000	22
2300000	23
2400000	24
2500000	25
2600000	26
2700000	27
2800000	28
2900000	29
3000000	30
3100000	31
3200000	32
3300000	33
3400000	34
3500000	35
3600000	36
3700000	37
3800000	38
3900000	39
4000000	40
4100000	41
4200000	42
4300000	43
4400000	44
4500000	45
4600000	46
4700000	47
4800000	48
4900000	49
5000000	50
5100000	51
5200000	52
5300000	53
5400000	54
5500000	55
5600000	56
5700000	57
5800000	58
5900000	59
6000000	60
6100000	61
6200000	62
6300000	63
6400000	64
6500000	65
6600000	66
6700000	67
6800000	68
6900000	69
7000000	70
7100000	71
7200000	72
7300000	73
7400000	74
7500000	75
7600000	76
7700000	77
7800000	78
7900000	79
8000000	80
8100000	81
8200000	82
8300000	83
8400000	84
8500000	85
8600000	86
8700000	87
8800000	88
8900000	89
9000000	90
9100000	91
9200000	92
9300000	93
9400000	94
9500000	95
9600000	96
9700000	97
9800000	98
9900000	99
